0,Country,Region,HarvestYear,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Color,altitude_high_meters,altitude_mean_meters,unit_of_measurement,Processing.Method,
1,Ethiopia,guji-hambela,2014,8.67,8.83,8.67,8.75,8.5,8.42,8.75,90.58,0.12,Green,2200,2075,m,Washed / Wet,
2,Ethiopia,guji-hambela,2014,8.75,8.67,8.5,8.58,8.42,8.42,8.58,89.92,0.12,Green,2200,2075,m,Washed / Wet,
3,Guatemala,,,8.42,8.5,8.42,8.42,8.33,8.42,9.25,89.75,0,,1800,1700,m,,
4,Ethiopia,oromia,2014,8.17,8.58,8.42,8.42,8.5,8.25,8.67,89,0.11,Green,2200,2000,m,Natural / Dry,
5,Ethiopia,guji-hambela,2014,8.25,8.5,8.25,8.5,8.42,8.33,8.58,88.83,0.12,Green,2200,2075,m,Washed / Wet,
8,Ethiopia,oromia,March 2010,8.25,8.33,8.5,8.42,8.33,8.5,9,88.67,0.03,,1700,1635,m,,
9,Ethiopia,oromiya,March 2010,8.67,8.67,8.58,8.42,8.33,8.42,8.67,88.42,0.03,,1700,1635,m,,
10,Ethiopia,"snnp/kaffa zone,gimbowereda",2014,8.08,8.58,8.5,8.5,7.67,8.42,8.5,88.25,0.1,Green,1850,1822.5,m,Natural / Dry,
11,Ethiopia,oromia,2014,8.17,8.67,8.25,8.5,7.75,8.17,8.58,88.08,0.1,,1955,1905,m,Natural / Dry,
12,US,antioquia,2014,8.25,8.42,8.17,8.33,8.08,8.17,8.5,87.92,0,,1872,1872,m,Washed / Wet,
13,US,antioquia,2014,8.08,8.67,8.33,8.42,8,8.08,8.33,87.92,0,,1943,1943,m,Washed / Wet,
14,US-Hawaii,kona,Sept 2009 - April 2010,8.33,8.42,8.08,8.25,8.25,8,8.58,87.92,0,,609.6,609.6,ft,,
15,Ethiopia,oromiya,March 2010,8.25,8.33,8.5,8.25,8.58,8.75,8.5,87.83,0.05,,1700,1635,m,,
16,US,antioquia,2014,8,8.5,8.58,8.17,8.17,8,8.17,87.58,0,,2080,2080,m,Washed / Wet,
17,Indonesia,sulawesi,May-August,8.33,8.25,7.83,7.75,8.5,8.42,8.33,87.42,0.03,,1800,1500,m,,
19,China,yunnan,2015,8.42,8.25,8.08,8.17,7.92,8,8.42,87.25,0.1,Green,1450,1450,m,Washed / Wet,
20,Ethiopia,gedio,2014,8.17,8.17,8,8.17,8.08,8.33,8.33,87.25,0,,2000,1850,m,Natural / Dry,
21,US,antioquia,2014,8,8.25,8.08,8.5,8.25,8,8.17,87.25,0,None,2019,2019,m,Washed / Wet,
22,CostaRica,san ramon,2014,8.08,8.25,8,8.17,8,8.33,8.33,87.17,0.11,Green,1300,1300,m,Washed / Wet,
23,Mexico,xalapa,2012,8.17,8.25,8.17,8,7.83,8.17,8.58,87.17,0.13,Green,1320,1320,m,Washed / Wet,
24,US,antioquia,2014,8.25,8.33,8.17,8.17,7.83,8.17,8.17,87.08,0,,2112,2112,m,Washed / Wet,
26,Brazil,south of minas,2011,8.5,8.5,8,8,8,8,7.92,86.92,0.12,Green,1250,1250,m,Natural / Dry,
28,Uganda,kapchorwa eastern,2013,8.42,8.17,8.17,8.17,7.83,7.92,8.17,86.83,0.12,Green,1950,1950,m,Washed / Wet,
29,Honduras,comayagua,2016,8.17,8.08,8.08,8,8.08,8,8.25,86.67,0.1,Green,1400,1400,m,,
30,Taiwan,"leye, alishan township, chiayi county",2015,8,8,8,8.25,8,8.17,8.17,86.58,0,Green,1200,1200,m,Pulped natural / honey,
33,Brazil,vale da grama,2011,8.5,8.17,8,7.75,8,8,8,86.42,0.12,Green,1300,1300,m,Natural / Dry,
34,CostaRica,west and central valley,2015/2016,8.17,7.83,8,8.08,7.83,8,8.42,86.33,0,Blue-Green,1300,1300,m,Washed / Wet,
